DROP_REASON,Domain,Name,Industry Groups,Keywords,Description,Social URLs,Score,Employees,Similarity,Start Date,Street,City,State,Zip,Country,Phones,Public Emails,Redirect Domain,Update Date
low similarity (91) in 11-50 band,americasfactors.com,"America's Factors, Inc.",FINANCIAL_SERVICES:1.0,"invoice factoring:0.73, invoices factoring:0.72, factors invoice:0.7, cash factoring:0.6, trucking invoices:0.58, factoring service:0.53, delivered factoring:0.52, factoring businesses:0.51, cash invoices:0.51, factor customers:0.51, recourse factoring:0.49, factors faq:0.48, factoring rates:0.48, flow factoring:0.46, factoring programs:0.45","America's Factors is a company that specializes in invoice factoring to help businesses turn their invoices into immediate cash. Their service allows companies to receive funds directly deposited into their bank accounts within hours, catering to various industries such as manufacturing, logistics, and trucking. Key features include no up-front fees, instant approval, real-time online reports, and the ability to cancel invoicing at any time without hard credit pull. They offer tailored solutions for businesses across all 50 states, providing working capital to support payroll and tax obligations.",https://www.linkedin.com/company/winston-financial-group,195,11-50,91,2018-07-24,10430-28 Pioneer Blvd,Santa Fe Springs,CA,90670,US,"+18007946786, +15622369240",info@americasfactors.com,,2026-03-28
low similarity (91) in 11-50 band,expressfreightfinance.com,Express Freight Finance,"SUPPLY_CHAIN_AND_PROCUREMENT:0.9, FINANCIAL_SERVICES:0.09","freight factoring:0.58, trucking freight:0.57, services freight:0.54, express freight:0.52, freight finance:0.52, freight helpful:0.52, freight bills:0.5, carriers factoring:0.47, trucks express:0.47, freight weekly:0.47, services factoring:0.43, brokers droppay:0.43, fees cutoff:0.35, best rates:0.35, marketfit helpful:0.33","Express Freight Finance offers a range of services for carriers and brokers focused on freight factoring. Their main functionalities include same-day billing for load deliveries through DropPay, which allows drivers to receive payments within minutes after receiving their load. Key features include real-time lane data for better pricing, fleet maintenance products, and a mobile app for easy load submission. The company aims to enhance efficiency and profitability in freight operations through its innovative solutions.","https://www.linkedin.com/company/express-freight-finance, https://www.facebook.com/419153441610010, https://www.facebook.com/expressfreightfinance, https://www.instagram.com/expressfreightfinance",330,11-50,91,2015-10-14,801 N 500 W,Bountiful,UT,84010,US,"+18775296029, +18776970605, +18778073006","sales@expressfreightfinance.com, marketing@expressfreightfinance.com, careers@expressfreightfinance.com",,2026-04-03
low similarity (91) in 1-10 band,comcapfactoring.com,Commercial Capital LLC,FINANCIAL_SERVICES:1.0,"invoice factoring:0.64, financing invoices:0.59, finance invoices:0.55, payment factoring:0.55, paying invoices:0.53, factoring financing:0.53, invoices slow:0.52, invoices instant:0.51, invoice creditworthy:0.51, freight factoring:0.49, companies invoice:0.49, flow invoice:0.48, financing freight:0.47, flow financing:0.46, loans supplier:0.41","Commercial Capital LLC is a Canadian company that provides financing solutions through invoice factoring, freight bill factoring (Freight Bill Factoring), middle-market financing, and purchase order financing. Their main functionality is to help businesses turn slow-paying invoices into predictable cash flow by advancing funds on approved invoicing for 30 to 90 days, covering upfront supplier costs and fulfilling completed orders. They offer competitive rates based on volume and industry needs, ensuring transparency in funding processes and support for various industries such as transportation, manufacturing, and healthcare.","https://www.linkedin.com/company/commercial-capital-llc-canada, https://www.linkedin.com/company/commercialcap-acquisitions",185,1-10,91,2017-08-27,701 Brickell Ave,Miami,FL,33131,US,"+18773003258, +18003003258",,,2026-03-28
low similarity (91) in 11-50 band,goodmancapitalfinance.com,Goodman Capital Finance,FINANCIAL_SERVICES:1.0,"finance dallas:0.6, business financing:0.57, specialty lender:0.56, lending industries:0.5, business financial:0.49, financing solutions:0.49, finance goodman:0.48, lending invoice:0.47, finance specialty:0.45, finance ready:0.44, finance contact:0.43, bankers brokers:0.43, accessible collateral:0.42, help business:0.4, factoring services:0.34","G Goodman Capital Finance provides alternative financing solutions through invoice factoring and asset-based lending. Their main functionality is to help businesses increase their working capital by offering immediate payment options for unpaid invoices, allowing them to sell these assets at a low cost without hidden fees or upfront costs. Key features include no application fees, 24-hour approval processes, and flexible borrowing options tailored to various industries such as staffing, manufacturing, and transportation, all aimed at supporting business growth and efficiency.","https://www.linkedin.com/company/goodmancapitalfinance, https://www.facebook.com/goodmancapitalfinance",86,11-50,91,2019-05-20,3010 877-4-Goodman,Dallas,TX,75234,US,"+18774466362, +19722413297, +19722436285",info@goodmancf.com,,2026-04-02
low similarity (91) in 1-10 band,advancedfundinggroup.com,Advanced Funding Group,FINANCIAL_SERVICES:1.0,"invoice factoring:0.62, factoring invoices:0.59, financing factoring:0.56, freight factoring:0.55, factoring banking:0.55, invoices cash:0.5, factoring services:0.49, financials setup:0.49, finance freight:0.49, factoring merchant:0.47, setup fees:0.47, equipment financing:0.46, financing ecommerce:0.45, business billing:0.43, pay slowly:0.36","Advanced Funding Group offers factoring services to help businesses improve their cash flow by turning unpaid invoices into immediate cash advances. Their main functionalities include providing financing for purchase orders, accounts receivable, medical factoring, and merchant cash advances, with a focus on quick funding solutions without paperwork or hidden fees. They cater to various industries such as manufacturing, trucking, and eCommerce sellers, ensuring that clients receive tailored financial support based on their specific needs and industry conditions.","https://www.linkedin.com/company/advanced-funding-group, https://www.facebook.com/advanced-funding-group-860048134037046, https://x.com/afgfactoring",149,1-10,91,2017-06-14,4387 W Swamp Rd,Doylestown,PA,18901,US,+12674467902,"james@advancedfundinggroup.com, info@advancedfundinggroup.com",,2026-04-17
low similarity (91) in 11-50 band,freightfunding.com,Freight Funding LLC,FINANCIAL_SERVICES:0.99,"freight funding:0.71, funding freight:0.7, freightfunding com:0.6, info freightfunding:0.57, flow freight:0.56, funding factoring:0.46, 2022 freight:0.46, recourse factoring:0.44, mind freight:0.44, invoice factoring:0.44, factoring broker:0.41, funding llc:0.41, financing need:0.41, cash flow:0.4, broker credit:0.39","Freight Funding offers invoice factoring and non-recourse factoring services to help businesses improve their cash flow by providing immediate access to unpaid invoices. Their main functionality includes allowing companies to pay for within 30 to 90 days without waiting periods, ensuring stable financial stability. Key features include a client portal for easy management of payments, assistance with shipping processes, and support for various business needs such as expansion and inventory control.","https://www.facebook.com/freightfunding, https://twitter.com/freightfunding",157,11-50,91,2018-06-14,,Jonesboro,AR,72152,US,+18703362491,info@freightfunding.com,,2026-03-18
low similarity (91) in 11-50 band,truckingpartners.com,Trucking Partners,"FINANCIAL_SERVICES:0.83, SUPPLY_CHAIN_AND_PROCUREMENT:0.11","factor trucking:0.61, partners trucking:0.6, trucking partners:0.58, solutions trucking:0.56, providing freight:0.55, trucking issues:0.54, freight invoices:0.54, trucking experience:0.53, operators trucking:0.53, cash freight:0.53, contacted trucking:0.52, trucking companies:0.52, invoice factoring:0.49, login trucking:0.49, billing collecting:0.42","Trucking Partners is a factoring company that specializes in providing immediate cash to trucking companies. They handle the paperwork and payment processes for motor carriers, allowing them to receive funds on the same day of their invoices. Key features include no setup fees, no Termination Fees, free invoice preparation and submission, and low monthly fees. The service aims to simplify the process for trucking owners by handling various administrative tasks related to freight billing and payments.",https://www.linkedin.com/company/trucking-partners-llc,169,11-50,91,2017-01-24,1718 Second Avenue Nw,Cullman,AL,35055,US,"+12565079086, +12567378788",custsvc@tp-delivers.com,,2026-04-16
low similarity (91) in 11-50 band,atlasfactoring.com,Atlas Factoring LLC,FINANCIAL_SERVICES:1.0,"trucking factoring:0.62, factoring company:0.57, factoring companies:0.56, factoring llc:0.56, freight factoring:0.56, industries trucking:0.51, factoring services:0.51, equipment financing:0.46, atlas factoring:0.46, companies az:0.45, factoring invoices:0.43, tx businesses:0.4, llc cashflow:0.39, yext knowledge:0.35, brokers facilitate:0.33","Atlas Factoring LLC is a factoring company that provides financial solutions for businesses in various industries, including trucking, staffing, and freight. Their main functionality is to help small and medium-sized enterprises (SMEs) access capital quickly and efficiently through tailored financing options such as credit checks, fuel cards, and equipment loans. Key features include free consultations, competitive rates, and 24/7 customer support to assist with funding needs and streamline payroll processes.","https://www.linkedin.com/company/atlas-factoring-llc, https://facebook.com/613038668722444, https://www.facebook.com/atlas-factoring-llc-102058852115234, https://twitter.com/hibuus",104,11-50,91,2017-02-05,2201 Renaissance Blvd,King Of Prussia,PA,19406,US,"+18662218690, +19152289599",sales@atlasfactoring.com,,2026-03-14
low similarity (91) in 11-50 band,flash-funding.com,Flash Funding,FINANCIAL_SERVICES:1.0,"flash invoice:0.67, invoice factoring:0.59, flash funding:0.58, funding flash:0.58, invoices factoring:0.56, factoring services:0.44, capital flash:0.44, home invoice:0.43, turn invoices:0.43, invoices fax:0.43, invoices deposit:0.42, immediate payment:0.4, funding business:0.39, payroll explore:0.32, application fees:0.3","Flash Funding offers invoice factoring services to help businesses secure cash flow by purchasing accounts receivable. The process involves reviewing customer credit, buying invoices, and transferring funds directly into clients' accounts the same day. They cater to various industries, including transportation, oil & gas, manufacturing, and staffing, with no application fees or monthly minimums. Clients can apply online or via phone for a streamlined process that includes approval processes and funding applications.","https://www.linkedin.com/company/flash-funding, https://www.facebook.com/flashfundingllc, https://www.instagram.com/flashfunding",138,11-50,91,2016-09-01,10622 Hirsch Rd,Houston,TX,77016,US,"+17136945920, +18555222222",info@flash-funding.com,,2026-03-27
low similarity (91) in 1-10 band,harhal.com,Hartford & Holloway Corp,FINANCIAL_SERVICES:1.0,"freight factoring:0.67, factoring freight:0.67, services freight:0.62, freight step:0.58, freight completion:0.57, deliver freight:0.57, send freight:0.57, links freight:0.54, solution trucking:0.46, trucking company:0.44, factoring services:0.42, holloway corp:0.41, rates offer:0.34, lading rate:0.33, timely payments:0.31","Hartford & Holloway Corp offers freight factoring services designed for trucking companies to facilitate timely payments. Users can easily set up an online setup, submit necessary documentation, and receive payment upon receipt of their bills. The service includes transparent pricing with no hidden fees, low rates, and 24/7 customer support to assist clients throughout the process.",,105,1-10,91,2018-11-02,64 N Pecos Rd,Henderson,NV,89074,US,+17252297277,custcare@harhal.com,,2026-04-12
low similarity (91) in 1-10 band,foundationfactoring.com,Foundation Bank,FINANCIAL_SERVICES:1.0,"bank factoring:0.67, foundation factoring:0.67, factor bank:0.65, factoring foundation:0.65, bank factor:0.63, factor foundation:0.63, factoring fees:0.62, fees foundation:0.56, foundation bank:0.55, factoring cash:0.53, factoring needs:0.52, factor future:0.49, services factor:0.47, factor invoice:0.46, industry factoring:0.45","foundation Bank offers factoring services for businesses in the trucking industry, allowing them to quickly finance their operations with no set minimums. Their main functionality includes same-day deposits for invoices submitted before 1:00 PM Central Time, which are typically deposited on the same business day of a business's invoice. Foundation Bank provides tailored financing options and competitive fees to meet individual client needs, ensuring that clients can access funds at any time without stress. The bank emphasizes customer support and aims to help companies grow faster and manage their finances more effectively.",,130,1-10,91,2020-09-18,,Paris,TN,,US,"+17313522262, +17316423130, +17316428958",info@foundationbank.org,,2026-04-07
low similarity (91) in 1-10 band,1stcommercialcredit.com,1st Commercial Credit,FINANCIAL_SERVICES:1.0,"financing installers:0.52, financing distributors:0.51, finance supply:0.49, credit staffing:0.49, commercial credit:0.48, equipment financing:0.48, financials setup:0.48, services financial:0.48, funding trucking:0.47, financing 1st:0.46, payment freight:0.45, cash flow:0.45, credit factoring:0.45, finance invoices:0.45, flow payroll:0.41","1st Commercial Credit is a financial services company that provides various financing solutions for small to mid-sized businesses. Its main functionality includes invoice factoring, purchase order financing, and asset-based lending, allowing companies to quickly access cash flow through quick approvals and low upfront fees. Key features include non-recourse factoring with varying rates, customized financing options, and support for various industries such as healthcare, manufacturing, and trucking. The company aims to streamline the funding process while ensuring compliance with industry standards.",https://www.linkedin.com/company/1st-commercial-credit,507,1-10,91,2016-05-26,100 Crescent Ct,Dallas,TX,75201,US,"+12108518286, +12146235579, +12816459915, +13056000285, +13128581107, +14703442633, +15122154759, +15124695922, +18006010796, +18008766071","raul@1stcommercialcredit.com, info@1stcommercialcredit.com",,2026-03-28
low similarity (91) in 11-50 band,swiftfundingsolutionsllc.com,Swift Funding Solutions,FINANCIAL_SERVICES:1.0,"invoice factoring:0.68, factoring invoices:0.64, invoices factor:0.6, invoice payments:0.59, solutions invoice:0.58, tips invoice:0.57, invoicing strategies:0.56, invoices needs:0.56, flexible invoice:0.55, benefits invoice:0.55, businesses invoice:0.54, reducing invoice:0.53, invoices strategic:0.52, faq invoice:0.51, swift funding:0.4","Swift Funding Solutions offers invoice factoring services to help businesses quickly access immediate cash without traditional bank loans. Their main functionality is to sell outstanding invoices for a reasonable fee, allowing clients to cover expenses and enhance profitability. Key features include no long-term contracts, the ability to control funds, and support in managing both receivables and payables effectively. The service aims to reduce costs while providing flexibility and effective cash management solutions tailored to various industries.",,156,11-50,91,2020-08-31,,San Antonio,TX,78205,US,+12106860841,"jerry@swiftfundingsolutionsllc.com,travis@swiftfundingsolutionsllc.com, jerry@swiftfundingsolutionsllc.com,jennifer@swiftfundingsolutionsllc.com",,2026-04-13
low similarity (91) in 11-50 band,eaglebusinesscredit.com,Eagle Business Credit,FINANCIAL_SERVICES:1.0,"invoice factoring:0.51, invoices eagle:0.5, services invoice:0.46, factoring services:0.45, eagle business:0.44, invoices funding:0.41, business credit:0.39, credit services:0.38, eagle rates:0.38, finance freight:0.35, help business:0.35, company fast:0.32, receivables industries:0.32, making payroll:0.31, flow jobs:0.28","The website provides information and resources related to the Australian Stock Exchange, focusing on financial services for individuals seeking investment opportunities in the exchange of goods. It offers insights into the exchange rates between Australia's capital city and the United Kingdom, helping clients identify emerging investors who can benefit from significant savings and potential investments. The site also features news updates and a newsletter subscription option for regular stockists.","https://www.linkedin.com/company/eagle-business-credit, https://www.facebook.com/eaglebusinesscredit, https://www.instagram.com/eaglebizcredit, https://twitter.com/eaglebizcredit, https://x.com/https://twitter.com/eaglebizcredit, https://www.youtube.com/channel/UC5tYFK8uf0bHhzOXkFZjr5Q, https://www.pinterest.com/eaglebusinesscredit",189,11-50,91,2017-06-12,615 Molly Lane,Woodstock,GA,30189,US,"+16789051321, +18554208318","support@eaglebusinesscredit.com, info@eaglebusinesscredit.com",,2026-03-28
low similarity (91) in 11-50 band,freight-factors.com,Freight Factors & Finance,FINANCIAL_SERVICES:1.0,"freight factors:0.57, invoice factoring:0.51, directly freight:0.49, started freight:0.48, quote freight:0.45, send invoices:0.42, hour invoice:0.42, trustpilot freight:0.41, factoring business:0.4, expertise freight:0.39, factors finance:0.38, cash flow:0.33, immediate business:0.29, houston tx:0.25, required usd:0.24","Freight Factors & Finance offers invoice factoring and working capital solutions for small and medium-sized businesses. Their main functionality includes providing immediate funding by allowing clients to send invoices directly to Freight Factors, with up to 96% of the invoice value wired directly to their bank accounts within 24/48 hours. Key features include a risk-free quote process, online account access, free customer credit checks, and competitive rates starting from 2.19%. They cater to various business sizes, including startups and established companies, ensuring quick approvals and positive cash flow.",,256,11-50,91,2018-02-09,8410 N. Sam Houston Pkwy W,Houston,TX,77064,US,+18006723844,,,2026-03-10
low similarity (91) in 11-50 band,singlepointcapital.com,Single Point Capital,FINANCIAL_SERVICES:0.99,"businesses houston:0.54, texas businesses:0.51, companies houston:0.5, houston communities:0.46, point capital:0.46, texas nationwide:0.46, single point:0.44, point logistics:0.43, point insurance:0.42, serve texas:0.42, capital home:0.38, financing serve:0.37, start trucking:0.35, flexibility operational:0.33, highlight headings:0.3","Single Point Capital offers invoice factoring and financing solutions tailored for small to medium-sized businesses in various industries, including transportation, staffing, manufacturing, and distribution. Their main functionality is to provide immediate cash flow against unpaid invoices, helping companies improve their operations and expand. Key features include customized financing options, a fuel discount program for truckers, and support for starting new businesses, all aimed at enhancing cash flow and operational efficiency.","https://www.linkedin.com/company/singlepointcapital, https://www.facebook.com/singlepointcapital, https://www.instagram.com/singlepointcapital, https://x.com/singlepointcap, https://www.youtube.com/@singlepointcapital3043",128,11-50,91,2018-01-15,1960 Bypass Rd W,Humble,TX,77338,US,"+12815060600, +18007715633","factoring@singlepointgroup.com, info@singlepointcapital.com, info@singlepointgroup.com",,2026-04-12
low similarity (91) in 1-10 band,stratopay.com,Strato Pay,FINANCIAL_SERVICES:1.0,"fuel discount:0.54, discount fuel:0.5, strato pay:0.49, truck credit:0.45, broker stratopay:0.4, pay fuel:0.39, review strato:0.38, freight brokers:0.38, brokers fuel:0.38, streamlined payments:0.36, accelerate cash:0.34, fuel card:0.34, fees recommend:0.34, pay skip:0.29, tiered pricing:0.28","Strato Pay is a fuel discount program that allows carriers and freight brokers to pay for their fuel bills without requiring credit checks. The service provides instant funding, typically within 90 minutes of invoice submission, and offers a fixed-rate pricing model with no monthly fees or long-term contracts. Key features include a guaranteed $1500 line of credit per truck, access to over 1800 discounts at truckstops across the country, and transparent communication through live agents. Strato Pay aims to simplify the process for clients by simplifying payment processes and ensuring transparency in payments.",https://www.linkedin.com/company/strato-pay,121,1-10,91,2020-08-04,Po Box 1575,Minneapolis,MN,55480,US,"+18774017636, +13146241481","remit@stratopay.com, hello@stratopay.com, info@stratopay.com",,2026-04-09
low similarity (91) in 1-10 band,factorking.com,"FACTOR KING, LLC.",FINANCIAL_SERVICES:1.0,"business factoring:0.58, factoring companies:0.56, factoring invoice:0.54, factored invoices:0.52, best factoring:0.49, specializes factoring:0.47, factor king:0.47, monthly factoring:0.47, transactions factor:0.46, financial service:0.44, cash processing:0.44, provider factor:0.42, lend money:0.41, business credit:0.41, pay creditors:0.41","FACTOR KING offers invoice receivables factoring services to help small businesses secure immediate cash flow through a straightforward process. The service allows companies to select specific customers and invoices, ensuring they receive funding quickly while maintaining control over their financial operations. Key features include 24/7 monitoring of accounts, ongoing support for managing customer accounts, and competitive pricing without hidden fees or long-term contracts. FACTOR King aims to reduce bad debt risks while providing quick access to key financial reports and timely payment options.",https://www.linkedin.com/company/factor-king,356,1-10,91,2020-02-12,1600 Expressway Plaza,Hauppauge,NY,11788,US,"+16315045408, +16319825777, +18884001240, +18889195552, +18889197770, +18889237770",,,2026-04-01
