TIER,Domain,Name,Industry Groups,Keywords,Description,Social URLs,Score,Employees,Similarity,Start Date,Street,City,State,Zip,Country,Phones,Public Emails,Redirect Domain,Update Date
A,farwestcapital.com,Far West Capital,FINANCIAL_SERVICES:1.0,"business financing:0.57, financing solutions:0.52, financing factoring:0.51, business funding:0.5, offers financing:0.5, finance companies:0.47, financial solutions:0.45, capital business:0.45, based lending:0.44, capital offers:0.43, businesses far:0.43, west capital:0.42, lending abl:0.42, capital client:0.41, freight factoring:0.39","Far West Capital is a business financing and factoring company that provides various financial solutions for small businesses. Their main services include asset-based lending, invoice factoring, transportation freight factoring (TFO), and customized business financing options tailored to meet specific client needs such as fast growth of accounts receivable, slow paying net 30 to 90 customers, and refinancing for companies with challenging credit histories. Far West Capital operates on bank-owned funding principles, meaning they do not use external sources for their loans, which helps lower costs compared to traditional banks.","https://www.linkedin.com/company/far-west-capital, https://www.facebook.com/109116775819953, https://www.facebook.com/farwestcapital",314,51-200,89,2016-05-10,4605 Post Oak Place Dr,Houston,TX,77027,US,"+15125271100, +15125271142, +18324852385, +19155986800, +19158673998","info@farwestcapital.com, davidp@farwestcapital.com, japodaca@farwestcapital.com, lorena@farwestcapital.com",,2026-03-17
B,fleetonefactoring.com,WEX Capital,FINANCIAL_SERVICES:1.0,"freight factoring:0.6, factoring freight:0.58, fleet factoring:0.58, fees factoring:0.56, trucking factoring:0.55, factoring wex:0.54, fees wex:0.52, invoice factoring:0.52, factoring operates:0.5, pay factoring:0.49, invoice freight:0.48, start factoring:0.48, capital freight:0.48, factoring companies:0.48, load factoring:0.45","WEX Capital offers freight factoring services specifically designed for truckers. The service simplifies invoicing, improves load management, and provides quick payment options, with the ability to get paid within 24 hours without hidden fees or charges. Key features include access to a large database of legitimate loads, mobile app and web tools for submitting invoices, and a fuel card program that offers discounts on fuel. WEX Capital aims to enhance cash flow and improve overall business operations by handling invoice collection and payments efficiently.","https://apps.apple.com/us/app/fleetdocs/id1098303367?mt=8, https://play.google.com/store/apps/details?id=com.fleetdocs.in",197,11-50,100,2016-08-12,1 Hancock Street,Portland,ME,04101,US,"+18003141871, +18772758801, +18332255939",privacy@wexinc.com,wexcapital.com,2026-04-02
B,truckingfactoring.com,Corporate Finance New York LLC,FINANCIAL_SERVICES:0.95,"trucking factoring:0.59, factoring trucking:0.57, freight factoring:0.56, invoices truckers:0.53, factoring freight:0.52, truckingfactoring com:0.52, freight bills:0.5, startup freight:0.5, trucking companies:0.49, trucking started:0.48, trucking transportation:0.48, carriers trucking:0.46, factoring startups:0.45, started invoices:0.44, billing credit:0.41","1st Trucking Factoring offers freight factoring services for trucking companies, startups, and carriers. The main purpose of this service is to help these companies improve cash flow by providing immediate funding on unpaid freight bills, typically within 24 hours after load delivery. Key features include non-recourse billing options, online credit checks, electronic invoice submission, and a fuel program that accepts fuel discounts at over 6,400 truck stops across the U.S. and Canada. The process involves an application process, approval, invoicing, and ongoing management of funds to ensure timely payments without delays.",,19,11-50,100,2017-08-03,,New York,NY,,US,"+16463081428, +18008216950, +18888216950","info@truckingfactoring.com, info@1sttrucking.com",,2026-04-15
B,nextdayfundinginc.com,Next Day Funding Inc,FINANCIAL_SERVICES:0.98,"nextdayfundinginc com:0.63, ar nextdayfundinginc:0.61, day funding:0.55, contact 2026:0.45, funding fast:0.44, funding home:0.44, contact day:0.41, funding rights:0.36, trucking business:0.36, hesitate contact:0.34, com client:0.31, login contact:0.29, enter credentials:0.28, il 60411:0.25, ave ford:0.24","Next Day Funding Inc. is a financial service that provides funding solutions for trucking businesses. Its main purpose is to help companies secure fast, flexible, and effective funding to enhance their competitiveness and profitability. The company offers various financing options tailored to different business needs, including interest-free loans and equipment leasing. Clients can contact them via email or phone for inquiries related to funding processes.",,156,11-50,95,2019-08-15,21000 Torrence Ave,Ford Heights,IL,60411,US,+12244042141,ar@nextdayfundinginc.com,,2026-04-11
B,hmdfinancial.com,HMD Financial,FINANCIAL_SERVICES:1.0,"freight factoring:0.61, factoring freight:0.58, freight invoice:0.56, trucking factoring:0.55, hmd trucking:0.53, invoice factoring:0.52, services freight:0.5, make freight:0.48, freight brokerage:0.47, factor fees:0.47, operations trucking:0.46, factoring services:0.46, requirements freight:0.44, accelerate delivery:0.4, hmd financial:0.4","HMD Financial provides freight invoice factoring services to trucking owners and carriers. The main functionality is to accelerate the payment of invoices, with up to 99% advances available for those unable to collect within 24 hours. Customers can submit financing requests online or through a mobile app, and HMD Financial offers quick payouts and straightforward financing terms without hidden fees. Additionally, they have a Fuel & Maintenance Program designed to help clients reduce fuel costs while ensuring timely delivery of goods.","https://www.linkedin.com/company/hmd-financial, https://www.facebook.com/hmdfinancial",105,11-50,94,2022-03-01,10031 Virginia Ave,Chicago Ridge,IL,60415,US,"+12606240401, +13127788777, +16303266066, +17083986237, +17089985706, +18882158523",,,2026-03-28
B,ezfreightfactoring.com,EZ Freight Factoring,"FINANCIAL_SERVICES:0.9, SUPPLY_CHAIN_AND_PROCUREMENT:0.08","freight factoring:0.67, factoring freight:0.63, ez freight:0.57, truck factoring:0.56, freight bills:0.54, quote freight:0.53, money freight:0.53, option freight:0.53, flow freight:0.52, freight brokerages:0.51, livestock freight:0.5, solutions trucking:0.47, factoring fuel:0.47, invoice factoring:0.45, fuel cash:0.43","EZ Freight Factoring provides freight bill factoring services for trucking companies and freight brokers. The main functionality is to allow trucks to receive cash advances on their outstanding freight invoices, with access to up to 98% of the value within 24 hours after payment. Key features include month-to-month contracts, no hidden fees, and flexible funding options tailored to various business needs, such as fuel advances and equipment purchases. The service aims to improve cash flow for truckers by allowing them to accept more paying loads while minimizing waiting periods.",,147,11-50,94,2019-12-10,25101 Chagrin Blvd,Cleveland,OH,44122,US,"+18554648440, +18554658869",,,2026-04-03
B,porterfreightfunding.com,Porter Freight Funding,FINANCIAL_SERVICES:1.0,"trucking factoring:0.68, freight factoring:0.68, factoring trucking:0.67, services trucking:0.63, services freight:0.59, help trucking:0.58, trucking companies:0.58, freight funding:0.58, choose freight:0.57, trucking fleet:0.56, personalized freight:0.55, porter freight:0.54, savings freight:0.54, trusted trucking:0.52, truck financing:0.51","Porter Freight Funding provides freight factoring services specifically designed for trucking companies and their operations. The main functionality is to help trucksing owners, fleet owners, and owner-operators improve cash flow by offering same-day funding with transparent pricing and no hidden fees. Key features include a streamlined process for managing invoices, flexible contracts, and specialized fuel card programs that allow businesses to save on fuel costs. Porter Freightfunding aims to simplify the financing process for its clients while ensuring transparency and support throughout the payment process.","https://www.linkedin.com/company/porter-freight-funding, https://www.facebook.com/people/porter-freight-funding/61563874143987, https://www.facebook.com/porterfreightfunding, https://www.instagram.com/porterfreightfunding, https://www.youtube.com/@porterfreightfunding855, https://www.youtube.com/channel/UCM2TPkQVxxtplpc1hZUD-tA, https://www.tiktok.com/@porterfreightfunding, https://apps.apple.com/us/app/portergo-by-porter-freight/id6502882583, https://play.google.com/store/apps/details?id=com.porterfreight.fuel",152,11-50,94,2020-11-12,2112 1St Avenue North,Birmingham,AL,35203,US,"+12053970934, +12565028200, +12052088285, +12053974062, +12056374937",,,2026-04-06
B,thunderfunding.com,Thunder Funding,FINANCIAL_SERVICES:1.0,"thunderfunding freight:0.64, freight factoring:0.61, factoring freight:0.6, freight invoices:0.58, services trucking:0.57, form freight:0.56, factoring trucking:0.56, trucking companies:0.54, load freight:0.54, focused freight:0.51, freight america:0.5, money trucking:0.5, trucking start:0.47, business transportation:0.44, terms service:0.36","Thunder Funding is a factoring service designed for trucking companies to streamline their cash flow by turning freight invoices into cash quickly. The process involves setting up an account, which allows users to submit invoicing and manage fuel advance requests through the Thunder Mobile App. Key features include clear pricing with no long-term commitments, real-time cash tracking, and support from a dedicated team that manages back-office processes until invoiced are paid.","https://www.linkedin.com/company/thunder-carrier-services-llc, https://www.linkedin.com/company/thunderfunding, https://www.facebook.com/707478912612537, https://www.facebook.com/thunderfunding, https://www.instagram.com/thunderfunding, https://twitter.com/thunderfunding, https://x.com/thunderfunding, https://apps.apple.com/us/app/thunder-funding-fuel-finder/id6476509901",208,11-50,93,2017-10-18,2433 Impala Drive,Carlsbad,CA,92010,US,"+18002404140, +15097682249","support@northwestregisteredagent.com, info@thunderfunding.com",,2026-04-09
B,carriernet.com,CarrierNet,FINANCIAL_SERVICES:0.99,"trucking financial:0.69, financing trucking:0.69, provider trucking:0.69, trucking factoring:0.66, trucking businessstarting:0.65, invoice trucking:0.63, trucking business:0.63, trucking companies:0.62, apply trucking:0.61, freight factoring:0.6, account freight:0.57, financing transportation:0.57, load trucking:0.56, freight invoices:0.55, submit freight:0.52","CarrierNet is a freight factoring company that provides financing solutions for trucking companies through its receivables and invoices. Users can apply for an account, submit freight invoicing, and receive immediate funding options, including same-day or next-day payments from freight brokers. The service also offers educational resources, training, and support to help truckers improve their cash flow and manage their financial needs effectively.","https://www.linkedin.com/company/carriernet-group-financial-inc., https://www.facebook.com/carriernet-group-financial-inc-180330065345211, https://x.com/carriernetgroup, https://www.youtube.com/channel/UCSe3yrdKRapnDFqop5yfkRw, https://www.youtube.com/channel/UCSe3yrdKRapnDFqop5yfkRw/playlists",164,11-50,93,2021-05-27,500 W. 10Th St,Sioux Falls,SD,57101,US,"+16052716306, +16053064111, +16053356039, +18004256757, +18777472807",info@carriernet.com,,2026-03-17
B,mjnservices.com,"MJN Services, Inc.","SUPPLY_CHAIN_AND_PROCUREMENT:0.86, FINANCIAL_SERVICES:0.12","freight factoring:0.65, factoring freight:0.61, freight brokers:0.58, factoring trucking:0.58, best freight:0.57, freight agent:0.56, succeed freight:0.55, ship factoring:0.54, partner freight:0.54, trucking companies:0.54, freight invoices:0.52, trucking success:0.52, factoring services:0.51, invoice factoring:0.48, shipping services:0.47","MJN Services is a freight factoring and shipping solutions provider that offers same-day invoice factoring for trucking companies, freight brokers, and independent carriers. Its main functionality includes facilitating fast cash flow through automated invoicing, providing competitive pricing, and managing loadings efficiently. Key features include a secure transportation management platform (TMS) for easy load management, dedicated support from experienced professionals, and a focus on transparency and quick funding options to help businesses grow.","https://www.linkedin.com/company/mjn-services, https://www.facebook.com/mjnservices, https://www.instagram.com/mjnservices",105,11-50,93,2022-03-15,3300 N Triumph Blvd,Lehi,UT,84043,US,"+12016080409, +12016080412, +12017032210, +12017112104, +12018050411, +12022071911, +12023011103, +12024080510, +12024080511, +12025091612, +18017059030","support@mjnservices.com, info@mjnservices.com",,2026-03-18
B,factoringexpress.com,Factoring Express,FINANCIAL_SERVICES:1.0,"invoice factoring:0.55, invoices factoring:0.55, invoices trucking:0.52, truck factoring:0.5, trucking payment:0.48, factoring services:0.47, invoices fast:0.46, business factoring:0.46, gas factoring:0.45, invoices cash:0.45, factoring payroll:0.45, factoring fee:0.42, florida factoring:0.42, cash instantly:0.4, contractors instant:0.39","Factoring Express is a factoring service that helps businesses in Florida convert unpaid invoices into immediate cash. The process involves gathering information, submitting outstanding invoicing, and receiving funding within 24 hours, typically up to 97% of the value. Key features include same-day approval for certain services, flexible financing options based on various industries such as transportation, staffing, construction, and oil and gas. The company aims to streamline the payment process while allowing companies to focus on their core operations.","https://www.linkedin.com/company/18315252, https://www.linkedin.com/company/factoring-express, https://www.facebook.com/factoringexpress, https://twitter.com/fexpressllc",198,11-50,93,2017-10-28,16001 Collins Ave,Sunny Isles Beach,FL,33160,US,"+18002851964, +18886142999, +18003208405, +18887549895",,,2026-04-11
B,grtplains.com,Great Plains Transportation Services,FINANCIAL_SERVICES:0.99,"invoice factoring:0.61, factoring invoice:0.56, transportation factoring:0.52, plains transportation:0.45, flow factoring:0.45, cash flow:0.43, invoices cash:0.43, factoring programs:0.42, factoring accounts:0.41, maximize trucking:0.41, help business:0.37, success factoring:0.37, rates programs:0.37, funding great:0.36, process benefits:0.34","Great Plains Transportation Services offers invoice factoring and accounts receivable funding solutions for small to mid-sized businesses in the transportation industry. Their main functionality is to buy invoices or debts over time, providing quick access to cash, often within 24 hours. Key features include personalized financial management, competitive rates, and a focus on customer support throughout the process. Great Plains aims to help clients grow by handling their cash flow and ensuring timely payment.","https://www.linkedin.com/company/great-plains-transportation, https://www.facebook.com/people/great-plains-transportation-services-inc/100063480823234, https://x.com/grtplainsinc",234,11-50,93,2016-06-02,923 N State St,Fairmont,MN,56031,US,"+18003248214, +19528307202, +15072380220",contact@grtplains.com,,2026-03-17
B,factortek.com,FactorTek,FINANCIAL_SERVICES:0.99,"freight factoring:0.69, trucking factoring:0.68, factortek freight:0.67, factoring freight:0.67, factortek trucking:0.66, factoring trucking:0.66, factoring truckers:0.63, trucking paid:0.56, trucking companies:0.55, solutions trucking:0.54, invoices trucking:0.54, fleet factoring:0.53, faster freight:0.53, factoring service:0.5, factortek factoring:0.49","FactorTek is a freight factoring company that helps trucking businesses get paid quickly for their unpaid invoices. It offers tailored solutions for owner-operators and small fleets, providing immediate cash flow to cover fuel and expenses. Key features include 24/7 payment processing, dedicated support from an executive, and transparent pricing with no hidden fees. FactorTek aims to eliminate delays in payments and ensure reliable financial solutions for its clients.","https://www.linkedin.com/company/factortek, https://www.facebook.com/factortek, https://www.instagram.com/factortek__, https://www.youtube.com/@factoringacademy",104,11-50,93,2020-05-15,2801 Nw 74Th Avenue,Miami,FL,33122,US,"+17862288007, +17862977775",operations1@factortek.com,,2026-04-02
B,haulpay.io,HaulPay,FINANCIAL_SERVICES:0.92,"freight factoring:0.56, freight finance:0.54, freight payments:0.53, trucking logistics:0.51, digital freight:0.48, factoring payments:0.48, integrates haulpay:0.45, factoring finance:0.44, invoice factoring:0.43, tasks freight:0.43, factoring automate:0.41, automate invoicing:0.4, payments software:0.4, automate risk:0.36, improve credit:0.36","HaulPay is a digital platform that provides freight finance, payment automation, and load board solutions for the trucking and logistics industry. Its main functionality includes automating back office processes, facilitating debt-free financing to reduce credit risks, and offering quick payment options such as same-day or next-day payments. HaulPay also integrates with transportation technology to streamline invoicing and transactions, while ensuring transparency in its offerings to support carriers and their customers.","https://www.linkedin.com/company/haulpay, https://www.facebook.com/gohaulpay, https://twitter.com/haulpay, https://x.com/haulpay",118,11-50,93,2023-11-06,235 E. Broadway,Long Beach,CA,90802,US,+18886335558,support@haulpay.io,,2026-04-16
B,gsquaredfunding.com,"G Squared Funding, LLC",FINANCIAL_SERVICES:1.0,"services trucking:0.53, trucking companies:0.49, sector trucking:0.48, gsf credit:0.47, factoring services:0.46, working gsf:0.46, clients transportation:0.45, freight broker:0.44, transportation companies:0.44, transportation squared:0.43, agency financial:0.43, squared funding:0.41, invoicing brokers:0.41, challenges carriers:0.37, fuel card:0.33","Festival Street Kitchen is a family-owned restaurant in Basingstoke that offers a variety of homecooked meals made from fresh, locally sourced ingredients and a menu featuring healthy options with no added gluten or dairy. The restaurant also provides corporate catering services for events such as weddings and parties, along with a KidsPlay Area that features an interactive kids' zone. Customers can order food online and download the restaurant's app for easy access to their menus and event information.","https://www.linkedin.com/company/g-squared-financial-llc, https://www.facebook.com/gsquaredfunding, https://www.instagram.com/gsquaredfunding, https://www.youtube.com/channel/UCUoJF4U2GWf7JLX6-a7GDRA",108,11-50,92,2019-02-03,8215 Roswell Road,Atlanta,GA,30350,US,"+16789874380, +18889427253, +18774545212",,,2026-03-28
B,sevenoakscapital.com,SevenOaks Capital Associates,FINANCIAL_SERVICES:0.99,"sevenoaks express:0.54, apply sevenoaks:0.53, clients sevenoaks:0.5, factor sevenoaks:0.47, industry sevenoaks:0.47, sevenoakscapital com:0.46, sevenoaks capital:0.45, services offer:0.4, services factoring:0.36, 13 approve:0.35, invoice financing:0.35, select broker:0.35, contact helpful:0.34, submit field:0.32, account processor:0.3","SevenOaks Capital Associates provides accounts receivable financing services to help businesses increase their cash flow through invoice financing. Their main functionality includes quick funding on the day of approved invoices, allowing companies to manage immediate expenses such as payroll and operational costs efficiently. Key features include a user-friendly app for easy access to reports, competitive rates, and a referral program that allows clients to earn passive income by referring others.","https://www.linkedin.com/company/sevenoaks-capital, https://www.facebook.com/sevenoakscapital",125,11-50,92,2018-03-20,7854 Via Mail,Dallas,TX,75266,US,"+12257571916, +18005114588, +12257571919","operations@sevenoakscapital.com, sales@sevenoakscapital.com",,2026-03-17
